Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_speed
0,3618.2737582613204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0
1,3044.3950297225183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017969449580754035,0.0,-3.0263232345093693E-4,0.0,0.0,-9.592576584331769E-4,-0.0011432054570403288,0.0,0.0,-0.005098288371954683,-0.0010085074700050135,-4.397038990783994E-4,0.0,0.0,-0.002466311130513658,-0.0016620950587017515,-7.703286209008851E-4,-0.0019308956928014566,-0.0027873689595533796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060067096644309155,9.819153073294935E-4,0.0012944486641001318,0.0016187860432870982,8.53822738791136E-4,0.0,0.0,0.0026618648681445887,0.0,0.022022624877513247,-0.13487148334837662,-0.11302249395128652,-0.044763345970320674,-0.0026004274516629486
2,2987.695236617425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035444509087307983,0.0,-5.082842200739296E-4,0.0,0.0,-0.0018152611490536439,-0.0019394034364677458,0.0,0.0,-0.005355952905907914,-0.0010894641929327013,-4.5836968470672375E-4,0.0,0.0,-0.002559722992344866,-0.0017557121222324496,-7.232328749488088E-4,-0.002073086931407514,-0.004214989520974826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00823670831494348,0.0013244023446369348,0.0018287919306567394,0.0021972001016132892,0.001150532779761297,0.0,0.0,0.0037329214757038597,0.0,0.020989104921045113,-0.13261685057447437,-0.11955712999204304,-0.02965162862335155,-0.0029574447020332285
3,2762.089890402105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23336623912655188,0.0,-0.02884749371873823,0.0,0.0,-0.11598602479249154,-0.11352343501649846,0.0,0.0,-0.05566594856103222,-0.015380694193047587,-0.0042512163332451575,0.0,0.0,-0.022341072143811994,-0.019682858701374473,0.004630429013831842,-0.027835987014009623,-0.19994647946294505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2803595710031953,0.04004511462758595,0.07773537313221857,0.06759429587255286,0.03423968777699347,0.0,0.0,0.15456890890118374,0.0,0.16910125228354808,-0.12185103697337242,-0.9466178001691566,-0.0907072589625923,0.001282531805635409
4,2120.9412244244986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5055995492743972,0.0,-0.1806638269518851,0.0,0.0,-0.670732852594644,-0.6480861612865034,0.0,0.0,-0.3576388844791237,-0.10081353836952343,-0.030761809300277727,0.0,0.0,-0.14375973961739485,-0.12019494924927758,0.010921183925745918,-0.16771166735287155,-0.5247162805111952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5470979103551246,0.21379029044456213,0.4343329612981183,0.37176019007697547,0.17805665894056102,0.0,0.0,0.8300786998579832,0.0,-1.0168558681218378,-0.3622556497048117,-1.4773671123395764,-0.3299854236271823,-0.1986594524290533
5,2027.0879879779704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4211993775106908,0.0,-0.175172379984063,0.0,0.0,-0.0894839364208847,-0.8700181582739529,0.0,0.0,-0.8748475858507623,-0.33024106372339185,0.004296235413637217,0.0,0.0,-0.29094226781023685,-0.35894959482406513,0.29885233887550383,-0.5722612620767905,-0.8348460523729371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.296174802995034,0.1768392937788913,0.9197299227033724,0.3589457791445836,0.07256016057413654,0.0,0.0,1.418856672295461,0.0,-0.8243977221583837,-0.2956358672749848,-1.2196390542936062,-0.29297433277326496,0.7392714921117232
6,1923.0139174340813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1297252763887036,0.0,-0.124162713874919,0.0,0.0,0.5922235837350991,-0.9717096769432076,0.0,0.0,-1.332862282724632,-0.5649685224552327,0.059606685022334814,0.0,0.0,-0.38615960407910854,-0.5778565289823006,0.6204658496414409,-0.9483795132136353,-1.1684263641159884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95860264888139,0.15072031931061752,1.354670223464555,0.3383303638415421,-0.05808206416833979,0.0,0.0,1.932272963929151,0.0,-0.6228369630260401,-0.21798135534138063,-1.0186387345321897,-0.28045764268991696,0.5783769050729758
7,1853.8941582487487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1023001755659243,0.0,0.06387028104222395,0.0,0.0,0.956613008746354,-1.1653704079860234,0.0,0.0,-1.8666397718918846,-0.943212548732679,0.2368300055294738,0.0,0.0,-0.357150425640913,-0.922944203899918,1.39322665500689,-1.5459594486274844,-1.6331922536023344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6074476509613467,-0.10375473756666986,1.783784575441627,-0.226090126996559,-0.5528352578791016,0.0,0.0,2.3590439733260804,0.0,-0.902490602518218,-0.24789377623963038,-1.0966205050685287,-0.3022396762311736,0.49327144606562423
8,1767.3429217843054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5191878687928453,0.0,0.3160957033112841,0.0,0.0,1.0732365501927115,-1.5272481100293984,0.0,0.0,-2.5471173270455303,-1.4664024927703525,0.5091571402873033,0.0,0.0,-0.2588580316791782,-1.400344291816626,2.5342131656631137,-2.3668363582837144,-2.250204195123752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1561416162543487,-0.4927952100080684,2.3596091462422906,-0.9442175959020553,-1.2255299505472985,0.0,0.0,2.9412663315993997,0.0,-0.6758063334421012,-0.17945302080841705,-0.8927635614982008,-0.26108280761911384,0.2469064915459822
9,1715.4073618577386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4662624671727438,0.0,0.7528975569851368,0.0,0.0,0.7522256737867576,-1.1925279339374715,0.0,0.0,-2.8947387812061556,-1.8677854824731477,0.9267898772904375,0.0,0.0,0.03833129431655252,-1.7451975522519345,3.6499374934954245,-2.9438052301175226,-2.84045617569011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.154317746587529,-1.268019763280941,2.420100538093296,-0.5350265029312385,-1.4781074825646623,0.0,0.0,2.963976581328327,0.0,-0.7034749585015194,-0.17301881400354277,-0.7966213494949015,-0.2606349098213007,0.23089262750081793
10,1694.167332005178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8466478721405197,0.0,1.2963931655092669,0.0,0.0,1.0622259022628222,-0.7801540073977801,0.0,0.0,-2.9736553198565843,-2.0072786618902927,1.6586472688110978,0.0,0.0,0.261338276447247,-1.6702449574438738,4.15729017514425,-2.9089220041109174,-3.5444059309645617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.197281908343686,-1.4942111652655972,2.0159740802288106,-0.7825004215645307,-1.0151670068600904,0.0,0.0,3.0017875149342412,0.0,-0.7154179205782267,-0.1837584105956841,-0.6820040547283802,-0.2594265416033277,0.2630620007689627
11,1679.1839611295793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.936391183755766,0.0,1.6556901502126604,0.0,0.0,1.207306516419692,-0.9666382229928836,0.0,0.0,-3.2677047180009517,-2.0699901041086672,2.5526221695365274,0.0,0.0,0.26437845391409076,-1.3956895429450993,4.042783059630472,-2.5696683504781057,-4.380027957496994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0060439617220562,-1.9740960794123326,1.6668273227586825,-0.6351374962909524,-0.9750933181372308,0.0,0.0,3.199896208272074,0.0,-0.7081938686366716,-0.18246763363348162,-0.5301585247241396,-0.24989363626842,0.2446928778550634
12,1673.998081999469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.030047931041161,0.0,1.4760227369284349,0.0,0.0,1.1684540667329588,-0.5869990737651641,0.0,0.0,-3.599688789022736,-2.0729597144341922,3.8586320349413827,0.0,0.0,0.4666763307895119,-0.9609244292941264,3.836801826887499,-1.9395337363758933,-5.75788778178801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.091829638173196,-1.9815541452730392,1.9046784890772588,-0.7129287210075781,-1.6293134907901496,0.0,0.0,2.66989270736899,0.0,-0.7111132681789165,-0.19085468852063922,-0.28890209374224385,-0.24068349385126028,0.27286416724299833
13,1667.8967625817468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9396731818051527,0.0,1.5785648661898724,0.0,0.0,0.9429375220439702,-0.43522936918663224,0.0,0.0,-4.144216726247117,-2.01193097719197,4.200171960550894,0.0,0.0,0.41305890471872175,-0.8531339046384908,3.6200164290788615,-1.7117057049140723,-5.685579313544232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2096751201794094,-2.229140840670131,2.253539887690602,-0.9967512746098925,-1.4783244536081177,0.0,0.0,2.27386887769371,0.0,-0.6836978032241744,-0.169315231096716,-0.29646322047130136,-0.23677538845759483,0.21739840068900973
14,1664.408107218125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0224885452793355,0.0,2.066959672668318,0.0,0.0,1.1581986685175436,-0.8375497314812654,0.0,0.0,-4.595938467046488,-1.7449005982082992,4.390347927409862,0.0,0.0,0.5732933835022923,-0.7072125073655793,3.7123764435347395,-1.462552267170847,-5.140912536967332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3218105351430216,-2.132042461727382,2.5884071536165942,-0.854317928243506,-1.5508224082407867,0.0,0.0,1.4014267292305402,0.0,-0.6544968710914384,-0.15850584133525575,-0.3951947784808788,-0.23794512064466958,0.14837080110883827
15,1650.8942023980867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9998538172181084,0.0,2.515513384004676,0.0,0.0,1.1622921457549626,-0.5674167335961069,0.0,0.0,-4.7070669768677815,-1.163210245382325,3.7910171633080836,0.0,0.0,0.988476058365316,-0.6844431748537224,3.681530937671838,-1.2486858633246034,-4.696155870250572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9821654505539699,-1.7391910043595553,2.957450454442507,-0.4412445260332931,-1.5386588605887532,0.0,0.0,1.7842940406979564,0.0,-0.5971029318657306,-0.1492714810986642,-0.4321007647092321,-0.22835442727976854,0.0917291073677642
16,1642.290783015771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4251885007646479,0.0,2.0889505873246814,0.0,0.0,0.8584354266981735,-0.991241995356865,0.0,0.0,-4.348889933665872,-0.6240692084351178,3.3310839735380138,0.0,0.0,1.4545788468047072,-0.7641124311799551,4.071579304230887,-1.3321238713096564,-4.530154670600037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.743034771365291,-1.3250377217915985,3.024317545176508,-0.3224934969794966,-0.8501970217941504,0.0,0.0,2.1485613269502686,0.0,-0.5615293727793674,-0.15488209244370868,-0.39526070621878556,-0.2191430246175482,0.03169228471594895
17,1635.33343947201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3223308082525116,0.0,1.5574403160872707,0.0,0.0,0.7790619947951387,-0.9317795351180426,0.0,0.0,-4.4674892038595155,-0.4420171832416374,3.151348208965238,0.0,0.0,0.9427409024271882,-1.0456999150492994,4.196165019591911,-1.7401605126942183,-4.405011652677688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.516813521148531,-0.9135641192820005,2.4523503746665245,-0.10904533408026118,-0.5968467786607368,0.0,0.0,2.241933468211575,0.0,-0.5090993766230928,-0.12318114917004871,-0.3901669340946611,-0.21068056502666227,-0.03159976451019029
18,1629.638840038892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5193231162669,0.0,1.26733907422939,0.0,0.0,1.0014304930033837,-0.8092046945388988,0.0,0.0,-4.075636312287633,-0.7227190945528346,2.7051481938118,0.0,0.0,0.6930536383607586,-0.9714774090556828,3.9110270221033656,-1.9808121614197016,-4.42205901187765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7034047403113177,-1.5440774037259828,1.9886193085732438,-0.3596439520193031,-0.8284713426904882,0.0,0.0,2.1407194460472287,0.0,-0.49001796071589665,-0.12160467409849303,-0.3855241708703327,-0.2061487789891321,-0.05722826316142113
19,1626.4090600549669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4601590736836236,0.0,1.4384660976785326,0.0,0.0,0.8813413996671716,-0.7922543803311589,0.0,0.0,-3.918496088480737,-1.3356207608784176,2.428187607925015,0.0,0.0,0.6848172410791158,-0.8601759824634287,3.5121076253361556,-2.1707032176697316,-4.4714496728907225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9318636876668984,-1.6255032131143456,1.4973896583727568,-0.6567795123427973,-1.0783940689451037,0.0,0.0,2.0650177802169827,0.0,-0.4680773545813601,-0.1123010113806241,-0.35739350136111114,-0.20155437938176712,-0.04464993559522028
20,1622.2151408280354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6553050050645481,0.0,1.444607830678737,0.0,0.0,1.0119729964221322,-0.6524776118108697,0.0,0.0,-3.7769902768149293,-2.2146954916819235,2.669859557796831,0.0,0.0,0.6412760181278866,-0.7022043341168387,3.1309071246140214,-2.0277002935920736,-4.383092487520989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.676529375187693,-1.6429997074716953,1.857081597939335,-0.4679348519516354,-0.8793018782435553,0.0,0.0,1.9222904384728368,0.0,-0.4535578191895575,-0.10921174574517065,-0.3649204440781849,-0.19520216930900083,-0.02372367823830784
21,1619.5875724790487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6317356657102025,0.0,1.7812011853763918,0.0,0.0,0.920189887379174,-0.6301883223870749,0.0,0.0,-3.537526646734351,-2.2118233217267544,2.86385758271783,0.0,0.0,0.22636482316640294,-0.8234932518367529,3.1130101235901897,-1.6367000976525294,-4.416637286517022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6635022186007822,-1.6436338407523061,2.1479840027901105,-0.517881549560924,-0.9096862580538827,0.0,0.0,1.8327920384208336,0.0,-0.4476667661760862,-0.11012462955760922,-0.33724922585513417,-0.19059919979315365,0.001990869853945528
22,1617.2521519558804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6261213575934466,0.0,1.7643125062568374,0.0,0.0,0.9092217844976186,-0.5851898777850801,0.0,0.0,-3.6016434377272275,-1.9359236434719107,3.181412348928442,0.0,0.0,0.39517827827416535,-1.0139477441119784,3.0789202024002584,-1.2988293648606362,-4.155798377098053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.730560622281824,-1.685840913523549,2.0983496466065894,-0.5992431696864693,-1.0820977056034766,0.0,0.0,1.896804130182464,0.0,-0.43727650460409073,-0.10953415654144211,-0.35886904851904705,-0.18738989974498857,0.02760493548279216
23,1612.9894115173597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6551788936797955,0.0,1.7594592932150281,0.0,0.0,0.9146554156592763,-0.6291235242073135,0.0,0.0,-4.096427397287987,-1.199264203447382,3.0283698706305207,0.0,0.0,0.6919577478160549,-0.8027562876830683,3.029724852898908,-0.9781561401420125,-4.1726355096878605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6969420928756498,-1.6882432617093557,2.0481564117002384,-0.617534792695533,-1.0809269468385292,0.0,0.0,1.6599728207225868,0.0,-0.41438014791358846,-0.097432863397041,-0.31090649577372015,-0.17704414246367411,0.06867983440093499
24,1610.7854261604289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6105371535064923,0.0,1.6947110316086968,0.0,0.0,0.8643690415067237,-0.6050618511983977,0.0,0.0,-4.096712999349317,-1.0253806813361752,3.008404058182973,0.0,0.0,0.6344948140258618,-0.35458254706742187,3.1494609874835415,-0.8840839363208113,-3.9294366916429375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7293377163016768,-1.6474058452359668,1.9911892981543424,-0.6311328496107672,-1.1439003262355154,0.0,0.0,1.7339982323484915,0.0,-0.3994800499221889,-0.0961345082904079,-0.31771034770226736,-0.1725638115355433,0.10435679355164398
25,1609.313182839802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5395516891534773,0.0,1.4698561043205447,0.0,0.0,0.8878309858682362,-0.7791613647332254,0.0,0.0,-3.0585391920531633,-1.200623244451525,2.403365928349305,0.0,0.0,0.45647299977475586,-0.7607121126796084,2.5865671205406677,-0.6837747428666676,-3.097327813138156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7084041323767387,-1.4618630917925641,1.7500477876447469,-0.4662591107075539,-0.9306735943915725,0.0,0.0,1.7869410607058926,0.0,-0.32124198088125544,-0.07984740166810358,-0.28905940704664246,-0.14734714757192288,0.2855471571677425
26,1605.6507155155568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5527671360487543,0.0,1.4693828448605115,0.0,0.0,0.885778012629169,-0.7172055550263745,0.0,0.0,-3.4707054803266204,-1.5230014984717473,2.4449634594832617,0.0,0.0,0.45599965265888665,-0.5674287974861649,2.997375497951721,-0.8748730195645156,-3.5635387002912235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7119547501359833,-1.5022863201177636,1.8075555070420788,-0.5108743344243133,-0.9782470109290344,0.0,0.0,1.844589265541392,0.0,-0.368734000232971,-0.0881924694268788,-0.3085450700851042,-0.1613466526744586,0.2190075922201445
27,1605.5087089671015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5603095109710272,0.0,1.6416752708526026,0.0,0.0,0.8630522466851569,-0.6814398490860878,0.0,0.0,-3.3607901991362064,-1.1725180854032757,2.726259652443825,0.0,0.0,0.5149323283443823,-0.4884112372949668,2.7564397480078324,-1.2063870922691553,-3.58423492140883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7334858621073774,-1.5265491644188183,1.9450022813917278,-0.5280595194036813,-0.9895464901319536,0.0,0.0,1.8401517725548733,0.0,-0.36607533809645254,-0.08935339708294335,-0.303875076078614,-0.15911697405769587,0.25248070116672916
28,1604.6784642814782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5593434030958928,0.0,1.5867662732691978,0.0,0.0,0.872872988106853,-0.674941381413296,0.0,0.0,-3.4274647945149272,-1.2454139461520832,2.6054434219137788,0.0,0.0,0.489851226971601,-0.5527202754349033,2.8402422454094065,-0.659042679394834,-3.557741270164258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.754853278814003,-1.5435709223495266,1.8990124459211621,-0.5357205629653582,-0.9963038468392202,0.0,0.0,1.8439436366647068,0.0,-0.3494941370809041,-0.08543725117438998,-0.292595386084729,-0.1519058404052294,0.32795105939839847
29,1603.9638953695676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.564986705558483,0.0,1.513256197333706,0.0,0.0,0.889218258848583,-0.7025428522581976,0.0,0.0,-3.3362655184017354,-1.4352134170110913,2.4702742425917332,0.0,0.0,0.43416903178832306,-0.5881156429360628,2.855630227661417,-0.7593417616884173,-3.569223731178383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.722589374822983,-1.5321191128374019,1.83607484682844,-0.5170809408354452,-0.9927650154145734,0.0,0.0,1.8528629896947555,0.0,-0.34432431598682434,-0.08279438081683058,-0.2953958987827024,-0.14807622030941678,0.36289696201773153
30,1602.8782524100511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5793965382349178,0.0,1.5016736293296031,0.0,0.0,0.9068794079939265,-0.7200878302098885,0.0,0.0,-3.286907322966636,-1.4884146064581203,2.433987117791144,0.0,0.0,0.42298179466555375,-0.5722176166281518,2.855029933062915,-0.8384855536151573,-3.6735960065958104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.704190670524582,-1.5362810817773676,1.8280367255916494,-0.49892898225211507,-0.9721456099103399,0.0,0.0,1.8715144098581162,0.0,-0.3383375864899756,-0.08084281616767977,-0.29395655691111194,-0.1396170734399831,0.4854504860131875
31,1601.9690377605245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5923377142132307,0.0,1.4975907288031653,0.0,0.0,0.9199092968767267,-0.7305912816043396,0.0,0.0,-3.244979494683409,-1.5269552329718525,2.414315065380998,0.0,0.0,0.4092283599960077,-0.5593901103291411,2.8548788702810506,-0.8723381499344904,-3.7629264309756856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6968377391533018,-1.5427930418125002,1.828533756922931,-0.4871171336941581,-0.9615967197751192,0.0,0.0,1.892046056876901,0.0,-0.33361686886915654,-0.07944259926098678,-0.29303735503867057,-0.1309775962223226,0.622040806355526
